loan_id,dob_ssn,zipcode,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,event_timestamp,created_timestamp
13444,19770902_5041,42343,26,39672,MORTGAGE,10.0,PERSONAL,11500,15.7,0,2021-07-12 23:03:56.042000+00:00,2021-07-12 23:03:56.042000+00:00
10681,19810917_9838,48722,21,21600,MORTGAGE,2.0,DEBTCONSOLIDATION,10000,11.14,0,2021-08-17 04:15:41.912000+00:00,2021-08-17 04:15:41.912000+00:00
36662,19560701_1098,4979,37,51000,MORTGAGE,3.0,DEBTCONSOLIDATION,12800,12.84,0,2020-09-20 00:43:35.886000+00:00,2020-09-20 00:43:35.886000+00:00
35581,19840628_1262,33617,34,55000,MORTGAGE,4.0,EDUCATION,7000,13.49,0,2020-10-03 19:24:08.404000+00:00,2020-10-03 19:24:08.404000+00:00
35571,19870615_1213,97520,29,40000,OWN,0.0,MEDICAL,5000,5.42,0,2020-10-03 22:27:40.730000+00:00,2020-10-03 22:27:40.730000+00:00
20823,19691221_2001,31044,22,74000,MORTGAGE,3.0,PERSONAL,10000,11.83,1,2021-04-09 21:50:40.163000+00:00,2021-04-09 21:50:40.163000+00:00
13566,19490701_3352,2135,26,131000,RENT,10.0,HOMEIMPROVEMENT,4000,12.84,0,2021-07-11 09:44:45.656000+00:00,2021-07-11 09:44:45.656000+00:00
28421,19850629_2882,6280,28,24000,RENT,8.0,VENTURE,8875,10.65,1,2021-01-03 01:37:54.328000+00:00,2021-01-03 01:37:54.328000+00:00
11632,19480301_4934,72928,23,30000,MORTGAGE,7.0,MEDICAL,4600,7.9,0,2021-08-05 01:21:09.642000+00:00,2021-08-05 01:21:09.642000+00:00
14291,19761225_2494,63336,22,34500,RENT,2.0,MEDICAL,5000,16.89,1,2021-07-02 03:58:11.970000+00:00,2021-07-02 03:58:11.970000+00:00
30722,19650822_8482,68505,34,42240,RENT,3.0,PERSONAL,8775,13.06,0,2020-12-04 17:45:37.952000+00:00,2020-12-04 17:45:37.952000+00:00
27024,19540608_9214,77396,31,21000,RENT,13.0,EDUCATION,3000,15.28,0,2021-01-20 20:58:16.370000+00:00,2021-01-20 20:58:16.370000+00:00
30714,20000424_9349,11214,27,68000,RENT,4.0,HOMEIMPROVEMENT,8700,7.88,0,2020-12-04 20:12:27.814000+00:00,2020-12-04 20:12:27.814000+00:00
36920,19830202_7159,15957,42,50000,RENT,3.0,HOMEIMPROVEMENT,8000,10.14,0,2020-09-16 17:48:17.857000+00:00,2020-09-16 17:48:17.857000+00:00
11769,19600828_2486,13660,21,35360,RENT,1.0,EDUCATION,2200,7.49,0,2021-08-03 07:26:40.766000+00:00,2021-08-03 07:26:40.766000+00:00
29299,19710326_8048,38452,33,44400,MORTGAGE,3.0,MEDICAL,2000,14.22,1,2020-12-22 21:03:12.043000+00:00,2020-12-22 21:03:12.043000+00:00
26921,19910410_8856,87415,32,24000,RENT,2.0,MEDICAL,2500,10.37,0,2021-01-22 04:28:43.335000+00:00,2021-01-22 04:28:43.335000+00:00
19922,19720812_3570,43138,22,49000,RENT,6.0,PERSONAL,10000,16.45,1,2021-04-21 09:27:30.799000+00:00,2021-04-21 09:27:30.799000+00:00
17495,19690625_9793,53577,22,32000,RENT,0.0,PERSONAL,7875,14.91,1,2021-05-22 07:52:22.492000+00:00,2021-05-22 07:52:22.492000+00:00
14324,19670305_2983,1330,23,43000,MORTGAGE,3.0,VENTURE,3600,15.62,0,2021-07-01 17:52:31.292000+00:00,2021-07-01 17:52:31.292000+00:00
11248,19720926_4616,58275,21,26400,OWN,2.0,VENTURE,4000,7.51,0,2021-08-09 22:49:02.988000+00:00,2021-08-09 22:49:02.988000+00:00
37071,19720415_9928,62060,47,65000,MORTGAGE,21.0,HOMEIMPROVEMENT,7000,14.35,0,2020-09-14 19:36:51.724000+00:00,2020-09-14 19:36:51.724000+00:00
19306,19461130_2059,97818,23,35000,RENT,3.0,DEBTCONSOLIDATION,10000,13.22,0,2021-04-29 05:53:30.125000+00:00,2021-04-29 05:53:30.125000+00:00
12808,19620214_7176,7802,25,36000,MORTGAGE,3.0,MEDICAL,5300,7.49,0,2021-07-21 01:37:00.021000+00:00,2021-07-21 01:37:00.021000+00:00
29544,19750509_3504,89116,27,53004,MORTGAGE,10.0,EDUCATION,5600,11.86,0,2020-12-19 18:06:30.039000+00:00,2020-12-19 18:06:30.039000+00:00
29673,19730215_7839,98040,27,54996,OWN,5.0,PERSONAL,16400,13.98,0,2020-12-18 02:38:51.024000+00:00,2020-12-18 02:38:51.024000+00:00
16093,19740421_5101,94026,25,50988,OWN,9.0,HOMEIMPROVEMENT,4200,9.99,0,2021-06-09 04:44:30.697000+00:00,2021-06-09 04:44:30.697000+00:00
13575,19740315_4016,60914,24,26000,RENT,0.0,PERSONAL,4200,16.0,1,2021-07-11 06:59:34.562000+00:00,2021-07-11 06:59:34.562000+00:00
18680,19651021_5802,78640,23,45000,RENT,4.0,EDUCATION,9000,5.99,0,2021-05-07 05:23:01.777000+00:00,2021-05-07 05:23:01.777000+00:00
17498,19830407_5547,6403,23,58560,MORTGAGE,7.0,MEDICAL,8000,12.21,0,2021-05-22 06:57:18.794000+00:00,2021-05-22 06:57:18.794000+00:00
11834,19690820_2550,17067,25,30720,RENT,4.0,MEDICAL,2400,7.9,0,2021-08-02 11:33:40.642000+00:00,2021-08-02 11:33:40.642000+00:00
28564,19511005_8160,72333,28,59600,RENT,2.0,HOMEIMPROVEMENT,5000,5.79,0,2021-01-01 05:53:18.056000+00:00,2021-01-01 05:53:18.056000+00:00
18810,19740925_9648,35653,25,65000,MORTGAGE,1.0,PERSONAL,15000,11.12,0,2021-05-05 13:37:01.529000+00:00,2021-05-05 13:37:01.529000+00:00
20524,19651005_6967,57577,25,78000,MORTGAGE,4.0,DEBTCONSOLIDATION,2400,11.86,0,2021-04-13 17:18:28.731000+00:00,2021-04-13 17:18:28.731000+00:00
14025,19951023_3236,70598,25,42000,MORTGAGE,9.0,HOMEIMPROVEMENT,12000,9.91,0,2021-07-05 13:20:19.860000+00:00,2021-07-05 13:20:19.860000+00:00
11890,19740629_8255,63023,22,24000,RENT,0.0,DEBTCONSOLIDATION,2450,7.9,0,2021-08-01 18:25:51.613000+00:00,2021-08-01 18:25:51.613000+00:00
21828,19450318_8032,33597,25,36960,RENT,8.0,DEBTCONSOLIDATION,12500,14.61,1,2021-03-28 02:25:01.328000+00:00,2021-03-28 02:25:01.328000+00:00
38454,19801222_5014,37036,59,40000,MORTGAGE,5.0,PERSONAL,3600,7.49,0,2020-08-28 04:33:26.940000+00:00,2020-08-28 04:33:26.940000+00:00
28923,19671125_4301,5065,32,27000,RENT,2.0,MEDICAL,6000,12.73,0,2020-12-27 16:04:15.527000+00:00,2020-12-27 16:04:15.527000+00:00
21578,19691106_6462,91221,26,125000,RENT,3.0,MEDICAL,12000,6.99,0,2021-03-31 06:53:29.496000+00:00,2021-03-31 06:53:29.496000+00:00
30594,19821118_1872,23518,29,105500,RENT,4.0,PERSONAL,8000,7.49,0,2020-12-06 08:54:55.734000+00:00,2020-12-06 08:54:55.734000+00:00
20908,19751202_9380,78933,24,80689,MORTGAGE,1.0,DEBTCONSOLIDATION,16000,13.22,0,2021-04-08 19:50:35.386000+00:00,2021-04-08 19:50:35.386000+00:00
14637,19580516_5644,70174,26,34000,RENT,1.0,MEDICAL,8500,7.88,0,2021-06-27 18:07:45.466000+00:00,2021-06-27 18:07:45.466000+00:00
36708,19941118_5554,62979,40,75000,RENT,3.0,EDUCATION,6500,7.9,0,2020-09-19 10:39:19.183000+00:00,2020-09-19 10:39:19.183000+00:00
11498,19780924_4710,13469,26,45000,RENT,5.0,MEDICAL,1800,14.11,0,2021-08-06 18:20:34.820000+00:00,2021-08-06 18:20:34.820000+00:00
37558,19900526_2107,92881,36,90000,MORTGAGE,13.0,EDUCATION,12000,6.62,0,2020-09-08 14:38:31.413000+00:00,2020-09-08 14:38:31.413000+00:00
22221,20010906_1070,14424,24,98000,MORTGAGE,5.0,HOMEIMPROVEMENT,10000,11.71,0,2021-03-23 02:11:56.889000+00:00,2021-03-23 02:11:56.889000+00:00
36390,19500129_2822,5676,39,44000,MORTGAGE,2.0,MEDICAL,8000,9.63,0,2020-09-23 11:55:51.173000+00:00,2020-09-23 11:55:51.173000+00:00
27908,19890524_1632,35007,30,30000,RENT,3.0,EDUCATION,4500,13.92,0,2021-01-09 14:33:26.688000+00:00,2021-01-09 14:33:26.688000+00:00
36114,19871005_8543,37033,44,37000,RENT,0.0,MEDICAL,3500,12.87,0,2020-09-27 00:21:31.390000+00:00,2020-09-27 00:21:31.390000+00:00
26177,19590111_3670,50479,30,72000,RENT,5.0,EDUCATION,20000,13.79,0,2021-01-31 16:04:00.442000+00:00,2021-01-31 16:04:00.442000+00:00
26100,19640419_3706,38352,31,72000,RENT,6.0,DEBTCONSOLIDATION,21000,11.99,1,2021-02-01 15:37:15.358000+00:00,2021-02-01 15:37:15.358000+00:00
12228,19570612_1699,48626,24,30960,RENT,5.0,MEDICAL,3000,15.62,0,2021-07-28 11:02:14.970000+00:00,2021-07-28 11:02:14.970000+00:00
34787,19561204_2796,97032,35,48000,MORTGAGE,8.0,MEDICAL,2000,11.97,0,2020-10-13 22:17:07.144000+00:00,2020-10-13 22:17:07.144000+00:00
28531,19550620_9829,93535,32,45000,MORTGAGE,3.0,DEBTCONSOLIDATION,5000,5.79,0,2021-01-01 15:58:58.734000+00:00,2021-01-01 15:58:58.734000+00:00
21157,19641113_3550,54944,24,38000,OWN,6.0,MEDICAL,1000,10.08,0,2021-04-05 15:40:28.450000+00:00,2021-04-05 15:40:28.450000+00:00
27970,19970424_7944,13167,35,17000,RENT,0.0,MEDICAL,4750,9.32,1,2021-01-08 19:35:30.263000+00:00,2021-01-08 19:35:30.263000+00:00
16912,19910624_1983,91768,25,46000,RENT,5.0,EDUCATION,7000,10.25,0,2021-05-29 18:12:41.139000+00:00,2021-05-29 18:12:41.139000+00:00
29832,19901116_1769,36480,28,75000,RENT,8.0,DEBTCONSOLIDATION,7200,9.88,0,2020-12-16 02:00:35.029000+00:00,2020-12-16 02:00:35.029000+00:00
17856,19930307_9563,75023,24,60000,MORTGAGE,8.0,VENTURE,12000,9.62,0,2021-05-17 17:26:37.498000+00:00,2021-05-17 17:26:37.498000+00:00
25214,19481123_7671,99587,24,48000,OWN,5.0,VENTURE,4400,5.99,0,2021-02-12 22:38:47.504000+00:00,2021-02-12 22:38:47.504000+00:00
29497,19831226_5835,77272,29,52800,MORTGAGE,7.0,EDUCATION,25475,16.29,0,2020-12-20 08:29:07.974000+00:00,2020-12-20 08:29:07.974000+00:00
15260,19760601_5360,5661,24,120000,RENT,0.0,VENTURE,5775,6.17,0,2021-06-19 19:33:17.511000+00:00,2021-06-19 19:33:17.511000+00:00
37816,19860321_5183,62963,50,116000,MORTGAGE,22.0,PERSONAL,5000,10.25,0,2020-09-05 07:43:13.384000+00:00,2020-09-05 07:43:13.384000+00:00
38026,19970827_4324,39095,47,187000,MORTGAGE,5.0,HOMEIMPROVEMENT,14000,8.9,0,2020-09-02 15:28:54.523000+00:00,2020-09-02 15:28:54.523000+00:00
32636,19560501_9346,40111,28,42000,RENT,9.0,MEDICAL,12250,14.59,1,2020-11-10 08:16:18.620000+00:00,2020-11-10 08:16:18.620000+00:00
12122,19770809_4812,52342,23,24000,RENT,2.0,MEDICAL,2800,11.49,1,2021-07-29 19:27:45.633000+00:00,2021-07-29 19:27:45.633000+00:00
14438,19941002_9685,3766,23,43600,MORTGAGE,4.0,EDUCATION,7000,7.49,0,2021-06-30 07:00:10.767000+00:00,2021-06-30 07:00:10.767000+00:00
15951,19750905_2595,96793,24,50000,MORTGAGE,2.0,VENTURE,12500,9.32,0,2021-06-11 00:10:45.736000+00:00,2021-06-11 00:10:45.736000+00:00
18152,19830813_8953,13083,22,27000,RENT,6.0,DEBTCONSOLIDATION,5000,9.32,0,2021-05-13 22:53:52.627000+00:00,2021-05-13 22:53:52.627000+00:00
20349,19620624_1342,43212,26,75873,MORTGAGE,6.0,PERSONAL,1200,10.25,0,2021-04-15 22:50:24.449000+00:00,2021-04-15 22:50:24.449000+00:00
16662,19960313_6268,95444,25,75000,RENT,5.0,PERSONAL,6400,15.99,0,2021-06-01 22:41:09.307000+00:00,2021-06-01 22:41:09.307000+00:00
11798,19941022_2374,98363,26,30000,MORTGAGE,0.0,EDUCATION,4000,7.14,0,2021-08-02 22:34:25.019000+00:00,2021-08-02 22:34:25.019000+00:00
33726,19601012_5125,90608,28,91800,MORTGAGE,6.0,MEDICAL,10000,16.89,1,2020-10-27 10:50:35.008000+00:00,2020-10-27 10:50:35.008000+00:00
30945,19550115_3170,28594,33,59000,RENT,17.0,MEDICAL,9600,9.91,0,2020-12-01 21:32:43.067000+00:00,2020-12-01 21:32:43.067000+00:00
25354,19930815_1988,32238,23,47233,RENT,7.0,DEBTCONSOLIDATION,5000,11.36,0,2021-02-11 03:49:14.930000+00:00,2021-02-11 03:49:14.930000+00:00
33583,19570114_5191,34134,32,27500,OWN,1.0,VENTURE,5000,14.59,0,2020-10-29 06:35:11.280000+00:00,2020-10-29 06:35:11.280000+00:00
35932,19730604_8828,78104,37,44000,RENT,0.0,PERSONAL,1700,10.59,1,2020-09-29 08:01:55.736000+00:00,2020-09-29 08:01:55.736000+00:00
10065,19530901_1621,22182,21,12000,OWN,6.0,EDUCATION,3000,13.61,1,2021-08-25 00:41:41.237000+00:00,2021-08-25 00:41:41.237000+00:00
37999,19481128_5369,93673,37,160000,MORTGAGE,14.0,HOMEIMPROVEMENT,10000,7.51,0,2020-09-02 23:44:27.805000+00:00,2020-09-02 23:44:27.805000+00:00
12667,19661216_1173,95553,21,35004,OWN,5.0,VENTURE,1500,9.62,0,2021-07-22 20:44:53.827000+00:00,2021-07-22 20:44:53.827000+00:00
32783,19660617_5520,52531,31,92000,MORTGAGE,2.0,HOMEIMPROVEMENT,3500,5.79,0,2020-11-08 11:18:17.417000+00:00,2020-11-08 11:18:17.417000+00:00
18641,19530822_8321,85204,22,40000,RENT,2.0,EDUCATION,9000,10.59,0,2021-05-07 17:18:49.851000+00:00,2021-05-07 17:18:49.851000+00:00
36453,19940823_7643,76307,43,71015,RENT,8.0,VENTURE,5000,11.14,0,2020-09-22 16:39:33.515000+00:00,2020-09-22 16:39:33.515000+00:00
38272,19951202_6841,32777,44,61000,RENT,2.0,DEBTCONSOLIDATION,11000,16.02,1,2020-08-30 12:13:51.286000+00:00,2020-08-30 12:13:51.286000+00:00
15711,19550503_7933,13108,26,44000,MORTGAGE,6.0,EDUCATION,10000,5.42,1,2021-06-14 01:35:41.577000+00:00,2021-06-14 01:35:41.577000+00:00
38246,19610623_9145,53179,37,24000,RENT,2.0,DEBTCONSOLIDATION,5000,14.65,0,2020-08-30 20:11:03.335000+00:00,2020-08-30 20:11:03.335000+00:00
31577,19871210_3692,39474,35,60000,RENT,7.0,PERSONAL,10000,11.11,0,2020-11-23 20:13:04.018000+00:00,2020-11-23 20:13:04.018000+00:00
36675,19790922_3586,44093,40,68000,RENT,12.0,HOMEIMPROVEMENT,7000,7.51,0,2020-09-19 20:44:59.862000+00:00,2020-09-19 20:44:59.862000+00:00
34689,19960715_8599,64506,30,71000,RENT,2.0,PERSONAL,12000,8.9,0,2020-10-15 04:15:47.946000+00:00,2020-10-15 04:15:47.946000+00:00
30849,19660326_3937,78147,28,19200,RENT,0.0,MEDICAL,9250,14.22,1,2020-12-03 02:54:41.403000+00:00,2020-12-03 02:54:41.403000+00:00
23291,19920505_5607,75633,26,14400,RENT,1.0,PERSONAL,1500,9.25,0,2021-03-09 10:53:17.931000+00:00,2021-03-09 10:53:17.931000+00:00
10598,19640113_6316,31795,23,54504,RENT,1.0,PERSONAL,20000,16.7,1,2021-08-18 05:39:04.224000+00:00,2021-08-18 05:39:04.224000+00:00
27250,19980601_1483,91977,28,80000,RENT,7.0,VENTURE,3025,9.99,0,2021-01-17 23:50:17.786000+00:00,2021-01-17 23:50:17.786000+00:00
34031,19810306_4085,51301,28,57000,RENT,2.0,VENTURE,15000,14.11,1,2020-10-23 13:32:39.044000+00:00,2020-10-23 13:32:39.044000+00:00
29704,19830721_3688,48470,33,36000,RENT,5.0,DEBTCONSOLIDATION,7000,5.79,1,2020-12-17 17:09:52.811000+00:00,2020-12-17 17:09:52.811000+00:00
34918,19611012_2049,55805,29,127000,MORTGAGE,1.0,MEDICAL,24250,11.36,0,2020-10-12 06:12:45.665000+00:00,2020-10-12 06:12:45.665000+00:00
35076,19720423_7339,2817,28,60000,MORTGAGE,5.0,PERSONAL,6000,10.99,0,2020-10-10 05:52:50.903000+00:00,2020-10-10 05:52:50.903000+00:00
28135,19471207_8523,45695,30,93500,RENT,3.0,EDUCATION,9925,12.09,0,2021-01-06 17:07:06.872000+00:00,2021-01-06 17:07:06.872000+00:00
27291,19800217_9841,91615,32,35000,MORTGAGE,9.0,VENTURE,12000,9.63,0,2021-01-17 11:17:47.246000+00:00,2021-01-17 11:17:47.246000+00:00
20569,19650605_8562,32465,22,72644,MORTGAGE,3.0,PERSONAL,5900,7.49,1,2021-04-13 03:32:33.261000+00:00,2021-04-13 03:32:33.261000+00:00
33370,19840427_4080,64746,27,106000,MORTGAGE,11.0,HOMEIMPROVEMENT,4000,11.71,0,2020-10-31 23:44:33.839000+00:00,2020-10-31 23:44:33.839000+00:00
18712,19710706_6125,19057,25,65000,MORTGAGE,1.0,PERSONAL,12000,7.49,0,2021-05-06 19:35:42.331000+00:00,2021-05-06 19:35:42.331000+00:00
17231,19891012_7651,28515,26,36000,RENT,10.0,VENTURE,7500,10.59,0,2021-05-25 16:37:47.917000+00:00,2021-05-25 16:37:47.917000+00:00
36754,19531122_7874,43783,36,41000,RENT,1.0,PERSONAL,7000,9.63,0,2020-09-18 20:35:02.481000+00:00,2020-09-18 20:35:02.481000+00:00
34050,19970304_6968,28449,30,131004,MORTGAGE,14.0,VENTURE,5000,8.49,0,2020-10-23 07:43:55.623000+00:00,2020-10-23 07:43:55.623000+00:00
21519,19741217_9741,77342,25,96000,RENT,1.0,HOMEIMPROVEMENT,12000,9.99,0,2021-04-01 00:56:22.224000+00:00,2021-04-01 00:56:22.224000+00:00
20961,19530119_2516,38506,24,81996,MORTGAGE,4.0,EDUCATION,14000,7.88,0,2021-04-08 03:37:50.054000+00:00,2021-04-08 03:37:50.054000+00:00
21544,19920310_7740,78402,24,65450,MORTGAGE,8.0,MEDICAL,5000,16.77,1,2021-03-31 17:17:31.407000+00:00,2021-03-31 17:17:31.407000+00:00
37414,19790408_2169,72131,49,74000,MORTGAGE,20.0,DEBTCONSOLIDATION,12000,17.99,1,2020-09-10 10:41:28.918000+00:00,2020-09-10 10:41:28.918000+00:00
24125,19540902_7647,7061,23,78000,MORTGAGE,7.0,DEBTCONSOLIDATION,4200,13.06,0,2021-02-26 19:46:09.883000+00:00,2021-02-26 19:46:09.883000+00:00
28760,20011207_6345,85630,34,47000,OWN,8.0,VENTURE,14000,9.99,0,2020-12-29 17:55:56.453000+00:00,2020-12-29 17:55:56.453000+00:00
34067,19470104_5144,4780,30,134500,MORTGAGE,9.0,DEBTCONSOLIDATION,24000,15.96,0,2020-10-23 02:31:54.668000+00:00,2020-10-23 02:31:54.668000+00:00
36792,19831030_9701,61548,42,40000,RENT,0.0,DEBTCONSOLIDATION,7200,10.75,0,2020-09-18 08:57:35.639000+00:00,2020-09-18 08:57:35.639000+00:00
19013,19590207_8723,80002,26,66000,MORTGAGE,6.0,DEBTCONSOLIDATION,7000,9.63,0,2021-05-02 23:31:11.297000+00:00,2021-05-02 23:31:11.297000+00:00
24540,19710506_8913,29056,22,38000,MORTGAGE,6.0,DEBTCONSOLIDATION,4500,5.79,0,2021-02-21 12:49:18.324000+00:00,2021-02-21 12:49:18.324000+00:00
17681,19580304_8660,42041,22,31200,RENT,0.0,PERSONAL,8000,14.3,1,2021-05-19 22:58:33.215000+00:00,2021-05-19 22:58:33.215000+00:00
16069,19800304_9440,46260,21,50460,OWN,4.0,VENTURE,6000,13.49,0,2021-06-09 12:05:00.281000+00:00,2021-06-09 12:05:00.281000+00:00
35548,19570818_6418,70749,28,54000,RENT,2.0,HOMEIMPROVEMENT,12000,15.31,1,2020-10-04 05:29:49.082000+00:00,2020-10-04 05:29:49.082000+00:00
35379,19520406_3523,25565,32,100000,RENT,7.0,DEBTCONSOLIDATION,14400,13.35,0,2020-10-06 09:11:37.403000+00:00,2020-10-06 09:11:37.403000+00:00
26165,19761103_7537,96161,27,66000,RENT,3.0,DEBTCONSOLIDATION,20000,10.62,0,2021-01-31 19:44:15.234000+00:00,2021-01-31 19:44:15.234000+00:00
35769,19831110_4953,75206,39,58000,RENT,5.0,EDUCATION,21000,10.83,1,2020-10-01 09:53:36.662000+00:00,2020-10-01 09:53:36.662000+00:00
26066,19920908_6532,27896,28,18000,OWN,2.0,MEDICAL,6350,13.57,1,2021-02-02 02:01:17.268000+00:00,2021-02-02 02:01:17.268000+00:00
17450,19821018_1579,97301,23,58000,OWN,4.0,MEDICAL,15000,10.25,0,2021-05-22 21:38:17.962000+00:00,2021-05-22 21:38:17.962000+00:00
38153,19630811_9728,50533,37,22800,OWN,18.0,EDUCATION,7000,6.03,0,2020-09-01 00:37:57.974000+00:00,2020-09-01 00:37:57.974000+00:00
16275,19490917_1398,12498,24,82000,RENT,8.0,EDUCATION,7000,10.0,0,2021-06-06 21:04:06.350000+00:00,2021-06-06 21:04:06.350000+00:00
30884,19930919_7687,60190,32,70000,RENT,1.0,DEBTCONSOLIDATION,9450,10.83,0,2020-12-02 16:12:18.259000+00:00,2020-12-02 16:12:18.259000+00:00
31709,19680505_6620,51439,30,75000,MORTGAGE,2.0,HOMEIMPROVEMENT,21000,14.35,0,2020-11-22 03:50:21.306000+00:00,2020-11-22 03:50:21.306000+00:00
20274,19780130_4840,49922,24,75000,MORTGAGE,1.0,EDUCATION,2000,8.94,0,2021-04-16 21:46:56.899000+00:00,2021-04-16 21:46:56.899000+00:00
38046,19680817_3924,72044,36,290000,MORTGAGE,6.0,PERSONAL,25000,15.65,0,2020-09-02 09:21:49.870000+00:00,2020-09-02 09:21:49.870000+00:00
14726,19940301_5862,8092,22,45000,MORTGAGE,6.0,EDUCATION,10000,7.88,0,2021-06-26 14:54:15.758000+00:00,2021-06-26 14:54:15.758000+00:00
36579,19601202_7706,57567,39,44500,RENT,5.0,MEDICAL,6000,7.88,0,2020-09-21 02:06:58.198000+00:00,2020-09-21 02:06:58.198000+00:00
10232,19730313_4796,46990,24,180000,OWN,8.0,EDUCATION,21000,11.48,0,2021-08-22 21:36:35.381000+00:00,2021-08-22 21:36:35.381000+00:00
21221,19740801_6924,19086,23,85000,MORTGAGE,1.0,VENTURE,21400,13.49,0,2021-04-04 20:05:49.560000+00:00,2021-04-04 20:05:49.560000+00:00
13055,19810707_4516,60130,25,35220,RENT,2.0,DEBTCONSOLIDATION,10500,7.29,0,2021-07-17 22:03:35.551000+00:00,2021-07-17 22:03:35.551000+00:00
35013,19820120_9786,44615,31,89000,RENT,1.0,MEDICAL,10000,10.99,0,2020-10-11 01:09:08.561000+00:00,2020-10-11 01:09:08.561000+00:00
37421,19640122_4276,28390,36,33600,RENT,3.0,EDUCATION,12000,11.36,1,2020-09-10 08:33:00.289000+00:00,2020-09-10 08:33:00.289000+00:00
