event_timestamp,dob_ssn,credit_card_due,mortgage_due,student_loan_due,vehicle_loan_due,hard_pulls,missed_payments_2y,missed_payments_1y,missed_payments_6m,bankruptcies,created_timestamp
2020-04-26 18:01:04.746575,19700719_4951,8537,443259,45625,3998,1,0,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19560119_8484,6766,994051,21635,27550,5,7,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19450619_1838,136,734472,24385,12226,7,3,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19860229_1269,1775,545713,7870,11279,10,7,1,1,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19550716_6489,7581,1014560,32337,21698,0,1,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19770909_3749,625,1755851,10071,28928,5,0,2,0,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19460708_1744,4325,643538,1496,4396,5,6,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19960408_6067,6766,81299,17294,647,2,6,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19510206_8540,550,689556,15164,1261,5,5,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19480409_1765,781,1788837,45060,15703,8,4,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,20010711_5288,3669,523107,34903,26987,4,2,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19900515_9945,6308,712633,2530,15023,2,2,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19570224_7610,829,452402,7489,14154,2,4,1,1,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19680319_9760,5420,1609049,12413,22708,0,0,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19880126_6480,6893,690613,10648,4220,5,6,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19651201_6947,5902,574178,26526,6275,2,5,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19910205_1576,7060,1377225,13496,27732,1,3,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19570218_5198,9914,1731608,8670,26764,5,0,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19520103_7721,6901,1672088,38186,16850,0,2,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19650605_9597,4572,1846820,35528,15177,6,6,3,1,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19640413_7209,228,842260,31911,10490,8,5,3,0,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19680829_6939,2035,1093857,15884,24599,7,2,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,20010108_2924,8732,1722568,41986,17998,5,3,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19670430_8377,3293,591913,42962,21909,8,6,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19741208_1968,5091,1012610,27470,19975,3,3,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19910313_3758,5601,1969556,32415,21626,1,5,3,1,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19950216_6438,1800,978437,37814,22455,9,3,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19531122_1254,9134,1371146,22673,2523,7,6,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19600528_8373,7590,1243939,38863,14312,2,1,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19781127_9734,7064,223815,7077,24236,3,6,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19530526_5385,5788,1103821,16667,26447,7,6,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19901015_2547,3676,119483,29373,20428,3,1,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19850425_5098,9691,624622,24312,1339,4,2,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19711214_9964,6412,951385,18397,11622,8,0,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19691030_6048,4645,81572,46230,3409,1,1,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19600107_9670,6343,1679435,48059,3999,6,6,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19680520_5879,6740,1674732,46648,5924,7,3,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19460203_1497,3530,769990,13311,934,5,7,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19700612_6032,1904,1945098,20776,28875,3,0,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19611204_2856,6845,1122678,10904,20002,2,1,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19600712_3825,4654,807475,19002,10652,10,3,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19630201_1104,9562,869403,6171,25284,3,6,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19781020_4506,5350,1406781,9976,5932,6,0,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19530904_8321,3124,1889716,49815,13545,10,5,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19481028_1851,3701,1897684,44357,28979,0,5,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19570508_3454,467,386000,42973,15043,10,4,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19910102_5025,8223,1505476,29470,22983,10,2,1,1,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19990707_7635,2987,529361,39841,18339,1,7,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19670330_6469,4647,232371,30691,2246,2,5,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19841116_6859,316,462286,7886,26795,8,1,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19511213_4328,1547,934992,42886,23907,4,0,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19710628_9679,4869,400643,26086,14076,7,3,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19510702_6043,9969,1179344,14965,17222,10,6,1,0,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19501216_8061,1590,196668,9858,10902,1,7,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19800406_8439,2476,1448321,16995,5072,1,1,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19661119_1383,8405,696650,7694,28501,4,6,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19930713_8300,3680,220278,593,1057,9,4,0,1,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19480403_9058,7282,1448150,25088,19202,9,3,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19890305_9125,6649,481125,10226,11764,2,3,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19840706_3904,8005,258167,47845,16561,9,1,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19490411_3733,8195,1058510,28128,17354,4,5,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19600103_8778,9924,409032,22741,19081,6,7,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19930717_4009,8366,208728,32523,28665,3,5,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19630206_1406,7771,1502676,5712,16097,9,6,0,1,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19650510_1847,8661,1683950,31588,7983,1,1,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19620827_2752,8560,653796,4470,1465,7,2,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19920527_2599,3155,1426405,33529,3392,4,2,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19760601_8988,8689,1196760,35979,2019,7,2,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19891024_5166,7477,105750,39785,20144,10,7,3,0,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19760415_2873,3646,1340488,1975,7241,10,1,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19700503_6631,2865,284724,390,2074,9,2,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19920818_7772,8233,898934,9757,23500,1,6,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19820321_2520,8758,1145058,11013,4008,0,1,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19980418_6975,4318,425750,49574,24519,0,1,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19630809_4111,5965,1059057,39499,7886,0,1,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19810126_4227,9385,1043186,13254,22303,0,4,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19611219_9380,3067,17798,4920,67,9,1,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19970912_1311,6454,512020,39107,1663,8,1,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19610821_4440,741,77743,45754,29855,8,4,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19731120_7231,2302,1475520,45108,1590,8,5,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19490324_4176,7069,50394,43999,17305,7,6,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19520224_5297,8390,94186,22192,3933,8,7,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19480925_1215,8020,845472,39852,24538,3,0,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19740218_3169,950,1588250,30682,16717,10,6,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19830227_2409,2930,586180,26945,25278,6,1,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19700704_9426,4148,929766,911,2006,4,3,2,1,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19731028_8188,5315,962752,42172,28962,0,5,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19941227_1572,5473,1051110,38026,6504,3,0,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19670425_2855,7779,1035799,26269,8462,9,5,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19991014_3843,5079,769289,7514,6027,6,2,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19521021_5466,7975,194506,32614,10385,1,0,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,20010720_4849,4481,1226035,31168,8619,8,1,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19560104_6116,845,60874,6798,27548,4,1,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19930222_8671,8464,818311,15641,13495,7,2,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19780113_2322,4162,1661508,28015,9574,1,0,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19540808_8685,8373,1234790,42972,9985,1,1,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,20010717_9793,3355,397649,13816,20498,7,6,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19520707_2576,8262,219959,3699,9905,7,3,3,0,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19490511_5108,5130,531970,48998,12817,5,2,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19700111_1690,8410,902917,6830,3230,8,7,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19510315_2267,4661,1475505,10441,21415,6,1,1,1,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19560810_5371,7806,391735,35396,5966,3,1,3,0,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19920704_7897,455,1567504,7001,27140,9,3,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19590613_3608,7794,18936,1465,10584,4,0,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19700122_8413,2175,1133433,7028,3087,0,3,2,0,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19950316_6954,7539,658280,19736,4797,4,0,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19640720_2122,6598,194099,19411,10525,6,3,2,0,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19580411_9996,6499,1819439,27592,11735,1,4,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19490420_5866,3948,1205588,18506,8539,5,6,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19870709_3589,2168,1179204,7460,22664,0,1,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19820409_5890,9316,1767281,23743,16008,1,6,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19940711_2500,4136,160955,26466,27816,8,6,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19700926_3180,8404,203007,11532,27533,9,2,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19830512_2877,135,274016,5150,24507,7,6,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19550204_2997,7289,900588,25381,423,9,0,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19450103_1272,308,399149,44470,25345,10,2,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19831011_5231,9317,598170,29936,881,1,6,0,0,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,20000420_9428,2311,743923,9713,10835,0,6,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19790506_6477,7669,773690,8208,15767,8,3,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19900330_1524,4883,1709559,46917,11904,0,1,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19870312_3552,9761,1656830,12054,3372,5,2,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19731020_1834,432,1562103,7674,28808,9,5,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19710220_8235,5682,171533,16517,19648,5,3,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19830306_7067,6301,35226,11020,28269,9,7,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19550628_7691,7871,1291222,10552,8996,6,7,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19760118_7610,57,245751,17091,5661,8,1,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19670411_1107,1081,949071,27918,25150,0,7,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19730605_6441,1083,791170,48033,26152,10,6,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19900503_1072,711,742435,31650,26852,1,0,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19890522_9087,6717,336460,33739,23435,2,7,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19680815_9970,7776,85145,28235,16405,7,7,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19930125_8099,513,1415527,40500,10739,3,3,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19500128_9622,8801,1976772,47084,8101,10,6,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19520424_1840,3079,1789243,15882,7427,9,7,0,0,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19870114_1971,1687,750973,13509,5607,5,2,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19950204_9632,5907,1167846,19918,27481,1,3,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19850330_1348,3444,962469,38305,16751,8,7,3,0,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19830320_5111,2041,1414928,17343,29735,3,0,3,0,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19730523_3223,1369,1588660,42824,20316,4,4,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19801113_7955,9196,368704,20886,3603,0,6,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19720111_8293,9186,12667,17161,12770,6,1,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19830908_4067,4761,786215,4859,22333,7,2,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19560623_6174,2133,10336,34928,13148,9,2,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19570121_5654,8911,434147,6797,7945,10,1,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19851030_2417,2206,31400,908,25402,8,2,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19840627_5481,9268,1561211,2585,17435,10,5,2,0,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19550813_3982,8281,1329078,45176,25975,3,5,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19610822_3926,916,379198,13669,14034,9,1,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19700130_8637,6394,497642,24904,17005,5,1,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19581005_1003,6063,1285392,40009,21940,10,6,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19610515_2615,6959,700790,46288,11612,0,6,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19520322_8880,319,1992495,23913,3476,3,2,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19750725_4014,4327,501607,7793,16312,0,3,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19720104_5235,9382,1647134,16382,8247,9,3,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19990104_8788,1787,41405,22782,10877,9,6,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19680504_8011,9504,1169583,28405,17900,3,7,1,1,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19850522_5065,2253,1605121,32891,6019,3,7,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19940408_6468,9505,1056253,24951,21304,9,0,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19590917_6176,4998,1092518,47227,22161,3,0,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19970421_2759,130,1394475,1953,15493,0,6,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19510614_3614,7491,1066727,3319,7469,0,1,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19890406_9601,5517,1960888,44351,9693,7,7,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19931101_8895,4865,1884658,29614,3899,0,6,1,1,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19451001_6728,9720,1460786,46121,5676,0,7,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19621114_7877,5262,1559354,15189,10954,4,6,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19560627_2936,5540,436549,41561,27958,3,0,2,1,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19641107_5294,7101,1150072,17075,20193,5,6,0,0,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19850114_9358,135,1186565,31986,10901,9,7,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19490901_2485,2808,952104,10659,5717,0,1,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19640417_4011,2955,1077263,31766,23573,9,4,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19530912_4661,3523,789422,11390,3983,8,0,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19951116_8514,1864,1388160,41066,29628,4,1,3,1,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19770207_2813,6563,1760262,39288,1094,9,2,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,20000812_5374,1542,68151,24828,5514,2,1,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,20000725_1097,6508,1132816,29622,3571,0,6,1,1,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19640417_5210,4819,369939,2628,17794,5,5,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19700418_7109,6572,468361,5941,19485,9,3,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19510504_9959,6530,294120,42918,12802,10,2,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19830409_3875,809,311505,47596,14210,10,0,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19581105_6041,9064,285215,7255,10557,2,3,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19780205_8464,1081,764415,19887,15160,0,1,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19761127_4157,2609,1258259,9047,704,3,7,0,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19770408_5832,9175,120891,30802,1701,8,6,3,0,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19880501_2798,5131,1433498,48469,8333,6,4,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19610302_7840,6574,1923196,18531,24428,2,0,2,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19870514_3720,2822,960854,16845,307,1,2,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19611126_7484,4538,163346,23159,2272,7,4,1,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19611014_1081,5459,202830,49153,27162,7,5,3,0,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19491213_1371,4073,1247441,26379,21997,4,6,3,1,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19860122_2342,8773,1697312,4556,757,2,4,1,0,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19660410_9925,5892,1735353,12732,24314,1,5,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19600306_4676,8829,1266465,24578,3936,5,5,1,1,2,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,20011116_7090,8031,855819,33189,14883,0,5,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19831017_6397,8931,194709,22386,29045,3,0,0,1,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19531203_2353,3310,1332415,36072,28314,4,1,3,0,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19490128_3952,21,980335,9635,22234,0,1,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19720719_9120,5514,1034611,45053,13389,4,6,1,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19801013_3901,5393,1974500,28648,24370,6,1,1,1,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19980327_5767,3639,1565171,28097,839,6,6,3,0,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19891121_2714,2335,1679891,10115,15740,8,3,3,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19760719_6739,3317,1627919,17852,29101,7,6,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19750530_5770,2342,1044578,20363,27588,6,3,0,1,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19771121_1901,1066,1072604,41100,15873,7,5,3,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19780807_8461,6127,212185,9404,3658,5,2,2,0,1,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19630705_5046,9122,1845021,23097,20083,4,2,2,0,0,2020-04-26 18:01:04.746575
2020-04-26 18:01:04.746575,19581217_4819,1479,1924266,1071,9216,4,3,3,1,0,2020-04-26 18:01:04.746575
